id,location,address,phone,longitude,latitude,url
1,別府市役所,別府市上野口町１番１５号,0977-21-1111,131.491335,33.284633,http://www.city.beppu.oita.jp/
2,別府市役所 南部出張所,別府市千代町１番８号,0977-25-1531,131.503655,33.274525,http://www.city.beppu.oita.jp/06sisetu/annai/04siyakusyo/04-04nanbu.html
3,別府市役所 朝日出張所,別府市火売１組,0977‐67-1218,131.475127,33.313575,http://www.city.beppu.oita.jp/06sisetu/annai/04siyakusyo/04-03asahi.html
4,別府商業高等学校,別府市大字別府３０８８番地４４,0977‐24‐1441,131.483989,33.287311,http://www.city.beppu.oita.jp/06sisetu/annai/12gakkou/12-40beppusyou-high.html
5,山の手中学校,別府市山の手町１番５３号,0977-22-5345,131.488173,33.280001,http://www.city.beppu.oita.jp/06sisetu/annai/12gakkou/12-17yamanote-tyu.html
6,青山中学校,別府市大字別府３０８８番地１,0977-22-4275,131.482771,33.289234,http://www.city.beppu.oita.jp/06sisetu/annai/12gakkou/12-18aoyama-tyu.html
7,中部中学校,別府市大字鶴見４５３０番地１,0977-22-4295,131.490126,33.292521,http://www.city.beppu.oita.jp/06sisetu/annai/12gakkou/12-19tyubu-tyu.html
8,北部中学校,別府市大字亀川２３１番地,0977-67-2195,131.488216,33.326181,http://www.city.beppu.oita.jp/06sisetu/annai/12gakkou/12-20hokubu-tyu.html
9,浜脇中学校,別府市大字浜脇１２０８番地,0977-22-4285,131.507721,33.267829,http://www.city.beppu.oita.jp/06sisetu/annai/12gakkou/12-21hamawaki-tyu.html
10,朝日中学校,別府市大字鶴見９５０番地５,0977-67-1278,131.466171,33.311002,http://www.city.beppu.oita.jp/06sisetu/annai/12gakkou/12-22asahi-tyu.html
11,東山中学校,別府市大字別府４３８０番地１,0977-27-5010,131.448873,33.267201,http://www.city.beppu.oita.jp/06sisetu/annai/12gakkou/12-1602higasiyama-tyu.html
12,鶴見台中学校,別府市大字鶴見３６８２番地３,0977-23-7441,131.489104,33.299792,http://www.city.beppu.oita.jp/06sisetu/annai/12gakkou/12-23turumidai-tyu.html
13,中央公民館,別府市上田の湯町６番３７号,0977-22-4118,131.496831,33.277072,http://www.city.beppu.oita.jp/06sisetu/annai/05kouminkan/05-01tyuou.html
14,西部地区公民館,別府市鶴見園町５組,0977-23-7330,131.480566,33.285638,http://www.city.beppu.oita.jp/06sisetu/annai/05kouminkan/05-03seibu.html
15,南部地区公民館,別府市浜脇１丁目８番２０号,0977-21-3401,131.508432,33.269656,http://www.city.beppu.oita.jp/06sisetu/annai/05kouminkan/05-05nanbu.html
16,中部地区公民館,別府市南須賀２組,0977-25-4321,131.490193,33.30191,http://www.city.beppu.oita.jp/06sisetu/annai/05kouminkan/05-04tyubu.html
17,北部地区公民館,別府市上人ヶ浜町６番５４号,0977-67-8300,131.499393,33.319699,http://www.city.beppu.oita.jp/06sisetu/annai/05kouminkan/05-02hokubu.html
18,朝日大平山地区公民館,別府市火売８組,0977-66-1150,131.467777,33.308572,http://www.city.beppu.oita.jp/06sisetu/annai/05kouminkan/05-06asahi.html
19,別府国際コンベンションセンター,別府市山の手町１２番１号,0977-26-7111,131.486928,33.28297,http://www.city.beppu.oita.jp/06sisetu/annai/10kurasi/10-12bcon.html
20,別府競輪場,別府市亀川東町１番３６号,0977-67-5578,131.497826,33.322492,http://www.city.beppu.oita.jp/06sisetu/annai/06syoukou/06-06keirin.html
21,市営鉄輪（かんなわ）むし湯,別府市鉄輪上１組,0977-67-3880,131.478058,33.316353,http://www.city.beppu.oita.jp/06sisetu/annai/11kankou/11-09kannawa.html
22,実相寺中央公園管理棟,別府市大字鶴見３７６３番地,0977-26-0535,131.486129,33.298319,http://www.city.beppu.oita.jp/06sisetu/annai/02sports/02-03jissouji.html
23,別府市総合体育館（べっぷアリーナ）,別府市青山町８番３７号,0977-21-2323,131.492153,33.277987,http://www.city.beppu.oita.jp/06sisetu/annai/02sports/02-01arena.html
24,公園テニスコート管理棟,別府市青山町７番２７号,0977-25-8293,131.491735,33.278826,http://www.city.beppu.oita.jp/06sisetu/annai/02sports/02-11tennis.html
25,弓道場,別府市大字鶴見３８０１ー２０,0977-21-1111,131.484354,33.298601,http://www.city.beppu.oita.jp/06sisetu/annai/02sports/02-15kyudou.html
26,市営青山プール管理棟,別府市大字別府３０８８ー１,0977-26-0535,131.484045,33.288411,http://www.city.beppu.oita.jp/06sisetu/annai/02sports/02-05aoyama-pool.html
27,市営実相寺球場,別府市大字鶴見３７０８,0977-26-0535,131.488044,33.29922,http://www.city.beppu.oita.jp/06sisetu/annai/02sports/02-18jissouji-base.html
28,市民球場,別府市大字鶴見３７０８,0977-26-0535,131.487862,33.301139,http://www.city.beppu.oita.jp/06sisetu/annai/02sports/02-21siminkyujo.html
29,別府市営温水プール,別府市大字別府３０８８番地９,0977-25-3633,131.489171,33.285279,http://www.city.beppu.oita.jp/06sisetu/annai/02sports/02-06onsui-pool.html
30,別府市民体育館,別府市大字別府３０１６番地１,0977-26-0535,131.488935,33.284584,http://www.city.beppu.oita.jp/06sisetu/annai/02sports/02-04simin.html
31,野口原総合運動場管理棟,別府市大字野口原３０８８ー９,0977-26-0535,131.488087,33.286176,http://www.city.beppu.oita.jp/06sisetu/annai/02sports/02-02nogutibaru.html
32,ヨット艇庫事務室,別府市北浜１丁目８１８ー３９０,0977‐21‐1111,131.507418,33.277716,http://www.city.beppu.oita.jp/06sisetu/annai/02sports/02-20yotto.html
33,少年自然の家「おじか」,別府市大字別府小鹿４３７４（枝郷１組）,0977-25-4950,131.474762,33.256202,http://www.city.beppu.oita.jp/06sisetu/annai/09community/09-05ojika.html
34,社会福祉会館,別府市上田の湯１５ー４０,0977-26-6070,131.49424,33.279485,http://www.city.beppu.oita.jp/06sisetu/annai/08fukusi/08-01fukusikaika.html
35,別府市消防本部,別府市上野口町１９番２７号,0977-25-1122,131.488827,33.288252,http://www.city.beppu.oita.jp/06sisetu/annai/07syoubou/07-01honbu.html
36,消防署 浜町出張所,別府市浜町８番６号,0977-22-3504,131.507144,33.273446,http://www.city.beppu.oita.jp/06sisetu/annai/07syoubou/07-02hamamati.html
37,消防署 亀川出張所,別府市亀川東町２６番８号,0977-66-0913,131.494852,33.327646,http://www.city.beppu.oita.jp/06sisetu/annai/07syoubou/07-03kamegawa.html
38,消防署 朝日出張所,別府市火売１０組,0977-66-2606,131.466825,33.311672,http://www.city.beppu.oita.jp/06sisetu/annai/07syoubou/07-04asahi.html
39,東部保健所,別府市大字鶴見字下田井１４ー１,0977‐67‐2511,131.485314,33.31076,
40,別府警察署,別府市田の湯町１３番１３号,0977‐21‐2131,131.497824,33.279781,
41,大分県立鶴見丘高等学校,別府市大字鶴見字横打４４３３の２,0977‐21‐0118,131.489997,33.294342,
42,大分県立青山高等学校,別府市野口原３０８８ー９１,0977‐22‐3141,131.485276,33.288046,
43,大分県立羽室台高等学校,別府市大字野田５６５番地,0977‐66‐5067,131.486843,33.321142,
44,大分県立別府支援学校,別府市鶴見４２２４番地,0977‐24‐0108,131.480062,33.294718,
45,大分県立鶴見支援学校,別府市大字鶴見４０７５番地の１２,0977‐21‐1349,131.477948,33.294709,
46,大分県立別府支援学校石垣原校,別府市大字鶴見４０７５の２９３,0977‐24‐6060,131.475073,33.294682,
47,大分県立南石垣支援学校,別府市石垣西１丁目２番５号,0977‐23‐3454,131.493977,33.28984,
48,大分県立生涯教育センター,別府市大字別府字野口原３０３０の１,0977‐22‐7763,131.487336,33.284261,
49,竹工芸・訓練支援センター,別府市東荘園３ー３,0977‐23‐3609,131.487685,33.291889,
50,別府市水道局,別府市野口原３０８８,0977-23-0361,131.490061,33.285266,
51,別府医療センター,別府市内竈１４７３,0977-66-1111,131.48665,33.331998,
52,堀田温泉,別府市堀田２組,0977-24-9418,131.461115,33.288378,
53,竹瓦温泉,別府市元町１６－２３,0977-23-1585,131.505817,33.277382,
54,市立青山小学校,別府市青山町５－６８,0977-21-0631,131.493709,33.278252,
55,市立朝日小学校,別府市火売４組,0977-67-1353,131.475363,33.309478,
56,市立大平山小学校,別府市竹の内,0977-25-3766,131.46693,33.3013,
57,市立別府中央小学校,別府市京町８１８－２６,0977-22-0281,131.504577,33.287822,
58,市立境川小学校,別府市石垣西１－２－２４,0977-21-0074,131.492529,33.290109,
59,市立上人小学校,別府市上人西１３,0977-67-2278,131.493033,33.315638,
60,市立鶴見小学校,別府市扇山３,0977-24-7594,131.469591,33.295463,
61,市立西小学校,別府市中島町７－４９,0977-21-1460,131.492529,33.273785,
62,市立春木川小学校,別府市中須賀東８－４,0977-67-5010,131.496896,33.307048,
63,市立緑丘小学校,別府市東荘園町７組,0977-25-6380,131.486875,33.297086,
64,市立南立石小学校,別府市南立石二区,0977-21-1481,131.473217,33.288943,
65,市立南小学校,別府市浜脇３－７－１３,0977-21-0554,131.502657,33.270816,
66,市立石垣小学校,別府市石垣西７－６－２７,0977-21-1404,131.492872,33.300117,
67,市立亀川小学校,別府市亀川浜田町３１,0977-67-1064,131.490887,33.329883,
68,別府税務署,別府市光町２２番２５号,0977-23-2111,131.4952,33.275292,
69,野口ふれあい交流センター,別府市野口元町１２番４３号,0977-21-2208,131.499524,33.283795,
70,中央保育所,別府市立田町４－３０,0977-23-1759,131.501557,33.272036,
71,別府市保健センター 湯のまち けんこうパーク,別府市西野口町１５番３３号,0977-21-1117,131.493484,33.283835,
72,内竈保育所,別府市国立第二,0977-66-5466,131.485062,33.333679,
73,鶴見保育所,別府市荘園６組－５,0977-24-7588,131.473185,33.293221,
74,南部児童館,別府市末広町１－３,0977-26-3355,131.502587,33.274417,
75,風の荘べっぷ,別府市上野口町２ー６０,0977-22-7070,131.49269,33.284459,
76,別府簡易裁判所,別府市上田の湯４－８,0977-22-0519,131.494449,33.276593,
77,海門寺温泉,別府市北浜２－２－５,0977-22-3625,131.503188,33.280505,
78,北浜温泉（テルマス）,別府市京町１１－１,0977-24-4126,131.505071,33.285974,
79,別府海浜砂湯,別府市上人ヶ浜,0977-66-5737,131.50138,33.312213,
80,柴石温泉,別府市野田４組,0977-67-4100,131.472659,33.325813,
81,浜田温泉,別府市亀川浜田９９１－６,0977-67-2619,131.494066,33.329939,
82,湯都ピア浜脇多目的温泉,別府市浜脇１丁目８－２０,0977-25-8118,131.508257,33.269845,
83,浜脇温泉,別府市浜脇１丁目８－２０,0977-25-8118,131.508228,33.270006,
84,永石温泉,別府市南町２－２,0977-26-5789,131.503467,33.273119,
85,不老泉,別府市中央町７－１６,0977-21-0253,131.500487,33.277128,
86,田の湯温泉,別府市田の湯町４－２３,0977-21-0253,131.498159,33.278003,
87,城島高原ホテル,別府市大字東山１２３番地の１,0977-22-1163,131.42527,33.262599,
88,杉の井ホテル,別府市大字南立石２２７２番地,0977-24-1141,131.474242,33.28418,
89,城島高原ゴルフクラブ,別府市大字東山１２３番地の１,0977-22-1164,131.427239,33.260715,
90,城島高原パーク,別府市大字東山１２３番地の１,0977-22-1165,131.426927,33.264689,
91,トキハ別府店,別府市北浜２丁目９番１号,0977-23-1111,131.505538,33.280364,
92,ホテル三泉閣,別府市北浜３丁目６番２３号,0977-21-1155,131.50543,33.2816,
93,別府豊泉荘,別府市青山町５番７３号,0977-23-4281,131.49368,33.277256,
94,別府市朝見浄水場,別府市朝見２丁目４００２番地２,0977-22-0527,131.493258,33.269973,
95,九州労働金庫別府支店,別府市石垣東６丁目８番３２号,0977-22-5331,131.498623,33.30356,
96,別府ロープウェイ（株）山頂駅,別府市大字南立石字寒原１０－７,0977-22-2277,131.433182,33.285207,
97,社会福祉法人 太陽の家,別府市大字内竃１３９３番２,0977-66-0277,131.489192,33.330994,
98,児童養護施設 光の園,別府市荘園８組,0977-23-2506,131.483071,33.294745,
99,地獄蒸し工房 鉄輪,別府市風呂本５組（いでゆ坂沿い）,0977-66-3775,131.476157,33.315409,
100,別府市北部コミュニティーセンターあすなろ館,別府市平田町１４番２４号,0977-27-6070,131.495619,33.321402,
101,別府市竹細工伝統産業会館,別府市東荘園８丁目３組,0977-23-1072,131.484944,33.298036,
102,別府市まちなか交流館,別府元町５番１８号,0977-76-5991,131.50462,33.277498,
103,おにやまホテル,別府市鉄輪３３５ー１,0977-66-1121,131.473228,33.314795,
104,イルカデンタルクリニック,別府市扇山１－４,0977-23-3934,131.467458,33.2939,
105,秋吉歯科医院,別府市浜脇２丁目２－６,0977-22-0419,131.507608,33.269632,
106,歯科アサノ医院,別府市大字鶴見４０８３－１３,0977-25-5449,131.476731,33.297288,
107,秋本歯科医院,別府市鉄輪上５組,0977-66-8171,131.475969,33.316765,
108,イイダ歯科,別府市上人本町１－８,0977-66-2828,131.49703,33.31289,
109,伊東歯科医院,別府市亀川東１９９６－１,0977-66-8241,131.496938,33.323549,
110,新港イトセ歯科,別府市新港町５－１,0977-21-4477,131.502764,33.296306,
111,イトセ歯科医院,別府市南荘園町２１組,0977-25-0501,131.475132,33.289198,
112,岩見歯科医院,別府市光町８－１５,0977-26-0333,131.498253,33.274126,
113,ウエダ歯科,別府市大畑６組の１,0977-21-8855,131.4719,33.30363,
114,関の江歯科医院,別府市大字内竃字北新田２４－２,0977-78-2171,131.494203,33.343194,
115,うつのみや歯科,別府市弓ヶ浜町３－３５,0977-23-3894,131.502499,33.285784,
116,えびたに歯科医院,別府市餅ヶ浜３－３５,0977-26-4618,131.501133,33.29575,
117,おたべ歯科医院,別府市荘園町８組の１,0977-23-8241,131.483951,33.294212,
118,小野歯科医院,別府市中須賀元町２組,0977-66-7104,131.492655,33.308808,
119,兼子矯正歯科クリニック,別府市田の湯町１０－２９　丸子ビル２Ｆ,0977-23-8757,131.499503,33.279315,
120,椛田歯科医院,別府市亀川浜田町４－１０,0977-66-6464,131.493862,33.33066,
121,川良歯科医院,別府市楠町２－２,0977-23-3695,131.502941,33.275861,
122,清岡デンタルクリニック,別府市平田町６－２３,0977-67-8241,131.492969,33.318569,
123,姫山歯科診療所,別府市亀川中央町２９－１０,0977-67-1900,131.489761,33.328798,
124,北浜さとう歯科クリニック,別府市北浜２－７－１８,0977-25-5577,131.504427,33.280736,
125,セント歯科,別府市上田の湯町１２－３３,0977-25-8020,131.497158,33.278005,
126,歯科馬場医院,別府市楠町１－２７,0977-24-6464,131.503572,33.275124,
127,しんぐう歯科医院,別府市荘園町３－２,0977-25-3033,131.481832,33.291259,
128,セイノ歯科医院,別府市野口元町３－３８,0977-23-3581,131.500822,33.281745,
129,高橋歯科医院,別府市石垣西１丁目２８０,0977-26-1456,131.495479,33.290001,
130,谷口歯科医院,別府市北浜１丁目２－２５,0977-23-0864,131.502778,33.278606,
131,爲末歯科クリニック,別府市大字鶴見字市ノ原３３３０番地の３,0977-26-5578,131.485475,33.306326,
132,土屋歯科口腔外科クリニック,別府市船小路町６－１４,0977-21-2233,131.502593,33.302587,
133,鶴田歯科医院,別府市北浜１丁目１２－１８,0977-22-3043,131.505959,33.278218,
134,石垣鶴田歯科医院,別府市石垣西８－５－８,0977-25-4182,131.491054,33.301031,
135,荘園豊田歯科,別府市鶴見町７－２,0977-22-1611,131.477141,33.301812,
136,上人豊田歯科,別府市上人仲町７００番地の１,0977-66-4731,131.493779,33.313504,
137,西林歯科医院,別府市石垣西８－１－５１　リベラ９０　２F,0977-24-8011,131.494583,33.301731,
138,ルミエール歯科医院,別府市大字鶴見字木ノ原２８７８番地１,0977-24-8811,131.476865,33.30169,
139,鉄輪歯科クリニック,別府市大字鉄輪１２９－１,0977-66-1365,131.479692,33.315436,
140,ふじた歯科医院,別府市扇山町９組の２,0977-26-0648,131.469124,33.295046,
141,岩尾歯科医院,別府市石垣東３－４－１６,0977-21-8329,131.496493,33.29318,
142,まつもと歯科医院,別府市幸町１４００番地の１１,0977-25-1118,131.496633,33.28649,
143,丸尾歯科医院,別府市駅前町１２－１１,0977-23-3471,131.500951,33.279286,
144,溝部歯科医院,別府市大畑２組ー１あすかビル１Ｆ,0977-24-2896,131.475754,33.304035,
145,目代歯科医院,別府市上人西町３組,0977-66-1708,131.493189,33.311285,
146,扇山矢田歯科医院,別府市大字鶴見字夫婦石４０２４ー７７,0977-26-1230,131.472058,33.296709,
147,矢田歯科医院,別府市北浜１丁目１１ー９マルキ物産ビル内,0977-23-1876,131.505471,33.279315,
148,歯科柳川医院,別府市秋葉町８－２１,0977-23-1464,131.500382,33.276054,
149,ツルミ山村歯科医院,別府市馬場１－８　西山ビル１Ｆ,0977-25-5050,131.475277,33.306669,
150,友岡歯科医院,別府市田の湯町９ー１２,0977-21-4725,131.49755,33.278743,
151,脇歯科,別府市小倉４組,0977-26-3340,131.465251,33.306851,
152,しろくま歯科・矯正歯科,別府市餅ヶ浜７番ー１９号,0977-22-4690,131.502534,33.292752,
153,ぞう歯科クリニック,別府市北中７組,0977-67-8214,131.479611,33.311316,
154,ガーデン歯科クリニック,別府市南立石１区２組,0977-22-4618,131.480598,33.285261,
155,安部徹歯科医院,別府市荘園９－１セスナビル２Ｆ,0977-75-8321,131.484453,33.293191,
156,酒本歯科医院,別府市青山町３１０９－２,0977-85-8481,131.489383,33.278333,
157,別府さほ歯科クリニック,別府市船小路町４－４３トレビアンビル２Ｆ,0977-75-8216,131.501404,33.29981,
158,豊島歯科医院,別府市亀川中央町５－３８,0977-88-1085,131.4935,33.324977,
159,別府口腔保健センター,別府市西野口町１５－３３,0977-21-5657,131.493865,33.283911,
160,髙橋あきお歯科,別府市田の湯町１２－２５アリュールアクセル１階,0977-51-4832,131.499141,33.279904,
161,大分総合健診センター,別府市上人ヶ浜町９,0977-67-4113,131.500978,33.311186,